"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"U46499_at",3.04084259345902,8.04274906850446,13.7248509988905,5.78448918317976e-22,4.12376233868885e-18,39.1446109954787,"MGST1"
"M84526_at",5.63928391013474,7.52942099509218,13.3794755760855,2.2186940365259e-21,7.90853489319657e-18,37.8631615642123,"CFD"
"M23197_at",1.8763793144041,8.2682846149432,12.7122038886575,3.10733060545343e-20,7.38405329542583e-17,35.3409986334223,"CD33"
"M27891_at",5.26205166192397,8.92884895780852,12.4512984774857,8.85172910796648e-20,1.57759942026733e-16,34.3385335335501,"CST3"
"M31523_at",-2.01156159201609,9.56671049819711,-11.4523226915534,5.24463696539592e-18,7.4778033852615e-15,30.4194753637562,"TCF3"
"D88422_at",3.08683275192393,8.4967624365477,10.5899060513369,1.93852774325991e-16,2.30329404694998e-13,26.9415559578459,"CSTA"
"M63138_at",1.56106405497775,11.1458713427275,10.0258402332721,2.13255401498124e-15,1.90037219660016e-12,24.626187732977,"CTSD"
"X95735_at",3.37540333831036,9.21065785774844,9.75041028107861,6.93882226210156e-15,5.49631821183578e-12,23.4857877803392,"ZYX"
"M11722_at",-3.86781235227967,9.90519554031301,-9.53353916338505,1.76301430934377e-14,1.12099657581569e-11,22.5839626037418,"DNTT"
"J05243_at",-1.9355482521913,8.77230849662172,-9.52835753276254,1.8027959741654e-14,1.12099657581569e-11,22.5623773988505,"SPTAN1"
"L09209_s_at",2.43959231926661,9.52223943166294,9.51776606644905,1.88693490107845e-14,1.12099657581569e-11,22.5182510682212,"APLP2"
"M92287_at",-2.11252094323283,11.0788008639362,-9.4593706555522,2.42677155025745e-14,1.33080418321426e-11,22.2748378771826,"CCND3"
"M16038_at",1.88386597198936,9.01942479987921,8.94934145569135,2.20007444551864e-13,1.12030933729303e-10,20.1410652731039,"LYN"
"Z15115_at",-1.36291001215477,11.2814020893824,-8.83290024175758,3.64433548178843e-13,1.73203117664465e-10,19.6523514699551,"TOP2B"
"M19507_at",4.21743316844573,9.22026153968999,8.68237052088023,7.00147856656893e-13,3.11959629381687e-10,19.019966903386,"MPO"
"X59417_at",-1.95378470278897,11.131875838946,-8.64071574675549,8.38871861616838e-13,3.51783382439202e-10,18.8448760225377,"PSMA6"
"M31211_s_at",-1.40288267938828,8.42684963826049,-8.59632701083261,1.0171094449165e-12,4.02831846267206e-10,18.6582556772292,"MYL6B"
"U05259_rna1_at",-3.14198727860529,10.3827285146494,-8.57849463948661,1.09896766158024e-12,4.12344234705553e-10,18.5832745244137,"CD79A"
"X62320_at",1.80581219129704,10.0609020637151,8.26023877990635,4.37649473107554e-12,1.56000154689188e-09,17.2445414268142,"GRN"
"M83667_rna1_s_at",3.55100595291405,7.22084609601292,8.15057613745236,7.04541740830914e-12,2.39175146208742e-09,16.7832314400783,"CEBPD"
